,Series or Movie,IMDb Score,Awards Received,Release Date,Release Period
192,Movie,7.2,9.0,1986-11-05,1970-1989
193,Movie,7.3,1.0,2020-11-06,2010-2029
194,Series,7.3,Not Awarded,2009-05-02,1990-2009
195,Movie,6.3,Not Awarded,1990-06-02,1990-2009
196,Movie,7.2,6.0,2014-10-30,2010-2029
197,Movie,6.2,2.0,2017-11-07,2010-2029
198,Movie,6.3,Not Awarded,2021-02-05,2010-2029
199,Movie,5.0,Not Awarded,2012-05-10,2010-2029
200,Movie,7.8,Not Awarded,2001-01-08,1990-2009
201,Movie,5.5,16.0,2017-06-27,2010-2029
202,Movie,6.3,Not Awarded,2009-09-11,1990-2009
203,Movie,4.5,Not Awarded,2003-02-14,1990-2009
204,Movie,6.1,Not Awarded,2011-03-09,2010-2029
205,Movie,9.4,Not Awarded,2016-06-24,2010-2029
206,Movie,6.8,6.0,1955-05-23,1950-1969
207,Movie,7.0,Not Awarded,1921-05-09,1910-1929
209,Movie,5.2,Not Awarded,1938-02-01,1930-1949
210,Movie,5.1,Not Awarded,2013-10-25,2010-2029
211,Movie,7.1,Not Awarded,1913-10-27,1910-1929
212,Movie,3.8,Not Awarded,1941-11-15,1930-1949
213,Movie,6.5,Not Awarded,1920-11-08,1910-1929
214,Movie,6.9,1.0,1960-10-01,1950-1969
215,Movie,4.9,Not Awarded,1998-05-12,1990-2009
216,Movie,4.8,Not Awarded,2002-09-27,1990-2009
217,Movie,8.6,2.0,2005-08-30,1990-2009
218,Movie,7.9,12.0,1999-10-05,1990-2009
219,Movie,7.4,Not Awarded,1920-04-25,1910-1929
221,Movie,5.5,Not Awarded,2021-02-03,2010-2029
222,Movie,6.2,Not Awarded,2020-10-02,2010-2029
223,Series,8.3,Not Awarded,2021-02-02,2010-2029
224,Series,5.1,Not Awarded,2021-02-01,2010-2029
226,Series,7.0,Not Awarded,2018-03-20,2010-2029
227,Series,6.3,Not Awarded,2018-02-07,2010-2029
228,Series,6.1,Not Awarded,1952-06-16,1950-1969
229,Movie,4.8,Not Awarded,2019-04-12,2010-2029
231,Movie,4.6,Not Awarded,2019-05-24,2010-2029
